"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Gelato Messina Kingston","38 Eyre Street","Kingston","11/08/2021 - Wednesday","8:00pm","8:40pm","Close",-35.3205597918619,149.10842903475
"","F45 Training","10 National Circuit","Barton","12/08/2021 - Thursday","5:00am","8:00am","Close",-35.3160201793484,149.127577438039
"","Melt","109 Flemington Road","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2233030551994,149.167259366049
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2055289681442,149.131997575193
"","Gold Creek School (including Early Childhood Learning Centre)","Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Close",-35.1806172221037,149.12509906805
"","Harrison School","20 Wimmera Street","Harrison","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.1975732431662,149.155517911764
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","12/08/2021 - Thursday","8:30am","8:35am","Close",-35.3255039797055,149.161622426865
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","12/08/2021 - Thursday","8:30am","5:30pm","Close",-35.3548648957329,149.0697148156
"","Lyneham High School","Goodwin Street","Lyneham","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.2498965213136,149.056192431212
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","12/08/2021 - Thursday","9:00am","2:30pm","Close",-35.287570738016,149.136385094306
"","Commonwealth Bank Gungahlin","Shop 23-25, Gungahlin Mall, 33 Hibberson Street","Gungahlin","12/08/2021 - Thursday","9:30am","10:00am","Close",-35.1868518771028,149.141899899474
"","Coffee Guru, Canberra Centre","Shop K05, Canberra Centre, 148 Bunda Street","Canberra City","12/08/2021 - Thursday","10:45am","12 noon","Close",-35.2867202970382,149.127102195547
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","12:40pm","1:00pm","Close",-35.2106618511658,149.141894709199
"","Franklin General Practice","54 Nullarbor Avenue","Franklin","12/08/2021 - Thursday","2:15pm","3:15pm","Close",-35.2039701968863,149.166397568573
"","Priceline Pharmacy amaroo","6 Pioneer Street","amaroo","12/08/2021 - Thursday","5:00pm","6:45pm","Close",-35.163294313562,149.118462120889
"","Coles Supermarket","1 Maribyrnong Avenue","Kaleen","12/08/2021 - Thursday","12:45pm","2:45pm","Close",-35.2221581908039,149.134419293851
"","St Thomas Aquinas Primary School","25 Lhotsky St","Charnwood","12/08/2021 - Thursday","8:30am","4:00pm","Close",-35.2061544647957,148.973587441752
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","13/08/2021 - Friday","8:30am","5:30pm","Close",-35.3556728735136,149.155821100252
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","13/08/2021 - Friday","3:45pm","11:30pm","Close",-35.2358489046167,149.04963409461
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","14/08/2021 - Saturday","8:00am","3:15pm","Close",-35.2413917397182,149.083263232651
"New","Iskia Athletic Club Campbell","81 Constitution Avenue Campbell","Campbell","12/08/2021 - Thursday","12:15pm","2:00pm","Close",-35.2924737956273,149.158598361963
"New","The Rehabilitation Specialists","9/27 Yallourn Street Fyshwick","Fyshwick","11/08/2021 - Wednesday","2:30pm","5:00pm","Close",-35.3332034185098,149.129590503559
"New","The Rehabilitation Specialists","9/27 Yallourn Street Fyshwick","Fyshwick","11/08/2021 - Wednesday","8:30am","9:30am","Close",-35.3281379263622,149.183317834086
"New","Engineering house, tenancy 7/8, on level 2","11 National Circuit","Barton","09/08/2021 - Monday","6:15am","3:30pm","Close",-35.3126144344853,149.180935770592
"New","Engineering house, tenancy 7/8, on level 2","11 National Circuit","Barton","10/08/2021 - Tuesday","7:00am","4:00pm","Close",-35.3102758806488,149.105249912629
"New","Grand Central Towers - communal pool area","15 Bowes Street, Philip, ACT, 2606","Phillip","12/08/2021 - Thursday","11:45am","12:45pm","Close",-35.3416628792164,149.100370009686
"New","The Bucket Warehouse","Unit 1E/5 Pelle St, Mitchell","Mitchell","11/08/2021 - Wednesday","5:25pm","7:15pm","Close",-35.2138197962884,149.190286024931
"New","Subway","Shop 1/71-81 Woolley St, Dickson","Dickson","11/08/2021 - Wednesday","7:00pm","7:50pm","Close",-35.2466380670603,149.081531635876
"New","LDK Greenway","260 Soward Way","Greenway","10/08/2021 - Tuesday","3:30pm","11:59pm","Close",-35.4188008036153,149.067825740113
"New","LDK Greenway","260 Soward Way","Greenway","11/08/2021 - Wednesday","12am","11:59pm","Close",-35.4239894175424,149.080189051928
"New","LDK Greenway","260 Soward Way","Greenway","12/08/2021 - Thursday","12am","1159pm","Close",-35.42011342286,149.011132361817
"New","LDK Greenway","260 Soward Way","Greenway","13/08/2021 - Friday","12am","1159pm","Close",-35.4235321216571,149.07653891938
"New","LDK Greenway","260 Soward Way","Greenway","14/08/2021 - Saturday","12am","1159pm","Close",-35.4201354821498,149.062438437326
"New","LDK Greenway","260 Soward Way","Greenway","15/08/2021 - Sunday","12am","1159pm","Close",-35.4233534803229,149.120324105921
"New","Goodstart Early Learning Turner","12 Watson Street","Turner","11/08/2021 - Wednesday","10:20am","10:40am","Close",-35.2742584128165,149.134371216336
"New","Goodstart Early Learning Turner","12 Watson Street","Turner","11/08/2021 - Wednesday","5:00pm","5:30pm","Close",-35.2780867190761,149.178880138845
"New","Route 9 Bus CheckIn CBR Code BUS604","Watson to Dickson Interchange","Public Transport","11/08/2021 - Wednesday","8:06am","8:17am","Close",-35.2533011391087,149.109116796572
"New","Route 9 Bus CheckIn CBR Code BUS588","Dickson Interchange to Watson","Public Transport","11/08/2021 - Wednesday","3:12pm","3:23pm","Close",-35.2504681674407,149.111617740541
"New","Route 9 Bus","Watson to Dickson Interchange","Public Transport","12/08/2021 - Thursday","8:00am","8:20am","Close",-35.2477992680649,149.134127246066
"New","Bus Route 25 CheckIn CBR Code BUS939","Moncrieff to Gungahlin","Public Transport","10/08/2021 - Tuesday","7:50am","8:04am","Close",-35.2793585491988,149.1047036011
"New","Light Rail - R1 CheckIn CBR Code LVR003","Gungahlin to Dickson Interchange","Public Transport","10/08/2021 - Tuesday","8:20am","8:38am","Close",-35.2519250611717,149.122719665803
"New","Light Rail - R1 CheckIn CBR Code LVR005","Dickson Interchange to Gungahlin","Public Transport","10/08/2021 - Tuesday","3:18pm","3:37pm","Close",-35.2520367727333,149.174848661907
"New","Bus Route 25 CheckIn CBR Code 939","Gungahlin to Moncrieff","Public Transport","10/08/2021 - Tuesday","4:23pm","4:38pm","Close",-35.2833680808662,149.159777300958
"New","Bus Route 25 CheckIn CBR Code BUS458","Moncrief to Gungahlin","Public Transport","11/08/2021 - Wednesday","7:51am","8:04am","Close",-35.2738496142334,149.122596602966
"New","Light Rail - R1 Check in CBR Code LRV006","Gungahlin to Moncrieff","Public Transport","11/08/2021 - Wednesday","8:20am","8:38am","Close",-35.2820865154888,149.109935344667
"New","Light Rail - R1 Check in CBR Code LRV005","Dickson Interchange to Gungahlin","Public Transport","11/08/2021 - Wednesday","3:18pm","3:37pm","Close",-35.2534018993059,149.153123661988
"New","Bus Route 25 Check in CBR Code BUS428","Gungahlin to Moncrieff","Public Transport","11/08/2021 - Wednesday","4:07pm","4:20pm","Close",-35.2761554238915,149.071690283255
"New","Bus Route 25 Check in CBR Code BUS433","Moncrief to Gungahlin","Public Transport","12/08/2021 - Thursday","7:51am","8:04am","Close",-35.2810432227131,149.198618415543
"New","Light Rail - R1 Check in CBR Code LRV003","Dickson Interchange to Gungahlin","Public Transport","12/08/2021 - Thursday","8:20am","8:38am","Close",-35.2511926898284,149.100113956164
"New","Light Rail - R1 Check in CBR Code LRV005","Dickson Interchange to Gungahlin","Public Transport","12/08/2021 - Thursday","3:18pm","3:37pm","Close",-35.2504798490887,149.09442277994
"New","Bus Route 25 Check in CBR Code BUS585","Gungahlin to Moncrieff","Public Transport","12/08/2021 - Thursday","4:02pm","4:14pm","Close",-35.2750605245388,149.119594468144
"New","Ginninderra Medical & Dental Centre - The general practice section ONLY","Cnr Nettlefold Street & Coulter Drive","Belconnen","13/08/2021 - Friday","3:10pm","3:40pm","Close",-35.2340392639263,149.031849219297
"","Central Food Court, Canberra Outlet Centre","337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","1:30pm","2:30pm","Casual",-35.3356032999544,149.134428162662
"","Boost Juice, Canberra Outlet Centre","337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","1:35pm","2:05pm","Casual",-35.339505323065,149.197038293847
"","Coles amaroo","Horse Park Drive","amaroo","08/08/2021 - Sunday","4:00pm","4:20pm","Casual",-35.1638521152341,149.165086711435
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","09/08/2021 - Monday","8:25am","5:00pm","Casual",-35.1830488273949,149.05749603332
"","Bunnings Warehouse Canberra Airport","971 Majura Road","Majura Park","09/08/2021 - Monday","9:00am","10:30am","Casual",-35.2982845995102,149.134407783907
"","Mugga Site - Mugga Lane Resource Management Centre Waste Transfer Station","Mugga Lane","Symonston","09/08/2021 - Monday","10:00am","10:30am","Casual",-35.3851678785448,149.102800892275
"","Canberra Centre Subway and Food Court","Canberra Centre, 148 Bunda Street","Canberra City","09/08/2021 - Monday","10:30am","12 noon","Casual",-35.2817123674417,149.06493127611
"","St George Bank","58 Wollongong Street","Fyshwick","09/08/2021 - Monday","10:35am","11:00am","Casual",-35.3226606390077,149.175236268639
"","Woolworths Dickson","Dickson Place","Dickson","09/08/2021 - Monday","3:00pm","4:00pm","Casual",-35.2510425029495,149.104869925367
"","KFC Dickson","Bradham Street and Wooley Street","Dickson","09/08/2021 - Monday","3:00pm","4:00pm","Casual",-35.248333206553,149.136767375601
"","Officeworks Braddon","30 Mort Street","Braddon","09/08/2021 - Monday","3:15pm","4:00pm","Casual",-35.2707822228587,149.102678715659
"","Stockade Training Centre","7 Kembla Street","Fyshwick","09/08/2021 - Monday","3:45pm","5:30pm","Casual",-35.3255780769394,149.137907398611
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","10/08/2021 - Tuesday","8:00am","3:10pm","Casual",-35.1814551848601,149.13016912465
"","Civic Square Post Office","Shop G14-16, Canberra Centre, 148 Bunda Street","Canberra City","10/08/2021 - Tuesday","9:30am","9:50am","Casual",-35.2813279517059,149.06550047707
"","Basketball ACT","Basketball & Sports Centre, 42 Oatley Ct","Belconnen","10/08/2021 - Tuesday","12 noon","3:00pm","Casual",-35.2394481117878,149.023518071089
"","Bing Lee","10-12 Cohen Street","Belconnen","10/08/2021 - Tuesday","12:50pm","1:15pm","Casual",-35.2413297735547,149.073829502132
"","Kmart Gungahlin","33 Hibberson Street","Gungahlin","10/08/2021 - Tuesday","3:00pm","4:00pm","Casual",-35.1873805942945,149.129419383899
"","Big W Gungahlin","Gozzard Street","Gungahlin","10/08/2021 - Tuesday","3:45pm","4:30pm","Casual",-35.1918573686217,149.145796588937
"","Seears Workwear","60 Barrier Street","Fyshwick","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual",-35.3300991570739,149.197437317409
"","Supabarn","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:10pm","Casual",-35.1760561509912,149.073949827483
"","Sushi Island","15/22 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual",-35.1713536540043,149.156802740787
"","First Choice Liquor","48 Mort Street","Braddon","10/08/2021 - Tuesday","4:25pm","4:45pm","Casual",-35.2728844508473,149.114175898621
"","David Jones Canberra Centre","148 Bunda Street","Canberra City","10/08/2021 - Tuesday","5:15pm","6:00pm","Casual",-35.2763216085211,149.158577896856
"","EQ Café and Lounge","70 Kent Street","Deakin","11/08/2021 - Wednesday","6:30am","4:00pm","Casual",-35.322109203233,149.120254864588
"","Basketball ACT, Basketball & Sports Centre","42 Oatley Ct","Belconnen","11/08/2021 - Wednesday","6:40am","9:00pm","Casual",-35.2436876212232,149.078275400259
"","EQ Bakehouse","70 Kent Street","Deakin","11/08/2021 - Wednesday","7:00am","4:00pm","Casual",-35.3198160013469,149.125582388275
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","11/08/2021 - Wednesday","7:45am","8:30am","Casual",-35.2399285385927,149.070553461873
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","11/08/2021 - Wednesday","7:50am","11:59pm","Casual",-35.3174693740002,149.122468035957
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Casual",-35.1834209488947,149.09848721399
"","Café Mame","2/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual",-35.2092140376293,149.096283330467
"","IGA Melba","1/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual",-35.2039399805524,149.062136092754
"","Elite Supplements","13 Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual",-35.3446033458254,149.070827967987
"","Rebel Sport","Shop LM2, Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual",-35.3465976954394,149.083330995748
"","Sushi Island","15/22 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:00pm","1:10pm","Casual",-35.1747918591458,149.16106293954
"","Supabarn Casey","15 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:05pm","1:30pm","Casual",-35.1753265210946,149.093292849219
"","ampol Fuel","289 Canberra Avenue","Fyshwick","11/08/2021 - Wednesday","1:10pm","1:30pm","Casual",-35.3385611863628,149.187051604668
"","Woolworths Dickson","1 Dickson Place","Dickson","11/08/2021 - Wednesday","3:00pm","3:30pm","Casual",-35.248914195974,149.167492044705
