"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Mawson","Club Lime Mawson  Mawson Southlands Shopping Centre, Level 1, Mawson Dr, Mawson","Monday 9 August 2021","4.30pm","6.30pm","Close Contacts","Close Contacts ",-35.3652383,149.0944679
"","Kingston","Subsdance Dance Studio 1/27-29 Eyre St, Kingston","Tuesday 10 August 2021","6:00pm","8:00pm","Close Contacts","Close Contacts ",-35.3163164,149.1416681
"","Bruce","CIT Bruce Campus: Individuals who attended Building H only 35 Vowels Cres, Bruce","Tuesday 10 August 2021","8.45am","4.30pm","Close Contacts","Close Contacts ",-35.2481112,149.0946633
"","Bruce","CIT Bruce Campus: Psych Accredited Class, Room G102 35 Vowels Cres, Bruce","Tuesday 10 August 2021","6:00pm","8:00pm","Close Contacts","Close Contacts ",-35.2481112,149.0946633
"","Bruce","CIT Bruce Campus: Individuals who attended Building H only 35 Vowels Cres, Bruce","Wednesday 11 August 2021","12.30pm","4.40pm","Close Contacts","Close Contacts ",-35.2481112,149.0946633
"","Reid","CIT Reid Campus: Entire Campus  37 Constitution Ave, Reid","Wednesday 11 August 2021","8.45am","3:00pm","Close Contacts","Close Contacts ",-35.2864723,149.1374298
"","Reid","CIT Reid Campus: Entire Campus  37 Constitution Ave, Reid","Thursday 12 August 2021","9:00am","2.30pm","Close Contacts","Close Contacts ",-35.2864723,149.1374298
"","Gungahlin","Club Lime Gungahlin Level 1, Gungahlin Square, 43 Hibberson St, Gungahlin","Wednesday 11 August 2021","5:00am","6.30am","Close Contacts","Close Contacts ",-35.1854156,149.1360241
"","Braddon","The Civic Pub  8 Lonsdale Street","Wednesday 11 August 2021","5:00pm","8.30pm","Close Contacts","Close Contacts ",-35.2749938,149.1327273
"","Mitchell","Melt 109 Flemington Road","Thursday 12 August 2021","7.30am","8:00am","Close Contacts","Close Contacts ",-35.2204521,149.14453
"","Mitchell","Lawrence & Hanson Mitchell 2/67-71  Vicars Street","Thursday 12 August 2021","7.30am","8:00am","Close Contacts","Close Contacts ",-35.21061,149.1398
"","Mitchell","Lawrence & Hanson Mitchell 2/67-71  Vicars Street","Thursday 12 August 2021","12.40pm","1:00pm","Close Contacts","Close Contacts ",-35.21061,149.1398
"","Franklin","Franklin General Practice 54 Nullarbor Avenue","Thursday 12 August 2021","2.15pm","3.15pm","Close Contacts","Close Contacts ",-35.2007392,149.1471045
"","Braddon","The Civic Pub 8 Lonsdale Street","Monday 9 August 2021","3.45pm","9.45pm","Close Contacts","Close Contacts ",-35.2749938,149.1327273
