"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/08/2021 - Wednesday","12:15pm","12:40pm","Close",-35.3210219431704,149.134210498628
"","CIT Bruce Campus (Individuals who attended Building H only)","35 Vowels Crescent","Bruce","11/08/2021 - Wednesday","12:30pm","4:40pm","Close",-35.2480954238659,149.094658753723
"","Gunners Place – Youth Centre","Level 1, 20 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","1:30pm","2:30pm","Close",-35.1852349695031,149.13301644159
"","Westfield Food Court, Yum Cha","Benjamin Way","Belconnen","11/08/2021 - Wednesday","3:00pm","4:30pm","Close",-35.2379275980102,149.065257048999
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","4:00pm","8:15pm","Close",-35.2091034626075,149.073792865532
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","11/08/2021 - Wednesday","4:45pm","7:15pm","Close",-35.2419344347782,149.074947043474
"","The Civic Pub","8 Lonsdale Street","Braddon","11/08/2021 - Wednesday","5:00pm","8:30pm","Close",-35.2749859141619,149.132709272511
"","Turkish Delight","75/71 Giles Street","Kingston","11/08/2021 - Wednesday","6:35pm","6:45pm","Close",-35.3129544219979,149.145793383179
"","Power Kart Raceway","125 Canberra Avenue","Griffith","11/08/2021 - Wednesday","7:15pm","8:30pm","Close",-35.3219759864458,149.149849884597
"","Gelato Messina Kingston","38 Eyre Street","Kingston","11/08/2021 - Wednesday","8:00pm","8:40pm","Close",-35.3164958996479,149.142479021411
"","F45 Training","10 National Circuit","Barton","12/08/2021 - Thursday","5:00am","8:00am","Close",-35.3086130614113,149.133934052509
"","Melt","109 Flemington Road","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2204679896739,149.144522178377
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2100231610338,149.139789491643
"","Gold Creek School (including Early Childhood Learning Centre)","Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Close",-35.1812848464227,149.100457107204
"","Harrison School","20 Wimmera Street","Harrison","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.1996440150118,149.152269555894
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","12/08/2021 - Thursday","8:30am","8:35am","Close",-35.3247801664466,149.179461507985
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","12/08/2021 - Thursday","8:30am","5:30pm","Close",-35.3568577914269,149.089165541201
"","Lyneham High School","Goodwin Street","Lyneham","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.252478812825,149.130534610836
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","12/08/2021 - Thursday","9:00am","2:30pm","Close",-35.2860929218559,149.137449987169
"","Commonwealth Bank Gungahlin","Shop 23-25, Gungahlin Mall, 33 Hibberson Street","Gungahlin","12/08/2021 - Thursday","9:30am","10:00am","Close",-35.1853450768638,149.134670781203
"","Coffee Guru, Canberra Centre","Shop K05, Canberra Centre, 148 Bunda Street","Canberra City","12/08/2021 - Thursday","10:45am","12 noon","Close",-35.2802372063254,149.133337837594
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","12:40pm","1:00pm","Close",-35.2100395459226,149.139754456922
"","Franklin General Practice","54 Nullarbor Avenue","Franklin","12/08/2021 - Thursday","2:15pm","3:15pm","Close",-35.2007234282591,149.147107311184
"","Priceline Pharmacy Amaroo","6 Pioneer Street","Amaroo","12/08/2021 - Thursday","5:00pm","6:45pm","Close",-35.1647719368495,149.132435038628
"","Coles Supermarket","1 Maribyrnong Avenue","Kaleen","12/08/2021 - Thursday","12:45pm","2:45pm","Close",-35.2202794204499,149.102814613158
"","St Thomas Aquinas Primary School","25 Lhotsky St","Charnwood","12/08/2021 - Thursday","8:30am","4:00pm","Close",-35.2052928211223,149.030474117041
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","13/08/2021 - Friday","8:30am","5:30pm","Close",-35.3568480944067,149.089139630034
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","13/08/2021 - Friday","3:45pm","11:30pm","Close",-35.2363260209647,149.0703901312
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","14/08/2021 - Saturday","8:00am","3:15pm","Close",-35.2363128048605,149.070385165554
