"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","lat","lon"
"Previous","Fyshwick","Stockade Training Centre, 7 Kembla Street","10 Aug 2021","9:00am","11:00am","Close Contacts",-35.325788,149.1779729
"Previous","Manuka","Urban Pantry, 5 Bougainville Street","10 Aug 2021","10:30am","1:00pm","Close Contacts",-35.320762,149.13243
"Previous","Fyshwick","Harvey Norman, Barrier Street","10 Aug 2021","10:00am","11:00am","Close Contacts",-35.3260397,149.1659681
"New","Canberra City","Coffee Guru Canberra Centre, Shop K05, Canberra Centre, 148 Bunda Street","10 Aug 2021","12 noon","1:00pm","Close Contacts",-35.2802191,149.133323
"Previous","Mitchell","St Vincent de Paul, 32 Buckland Street","10 Aug 2021","3:30pm","4:00pm","Close Contacts",-35.2167073,149.1392156
"New","Bruce","Club Lime – CISAC, 100 Eastern Valley Way","10 Aug 2021","6:30pm","8:15pm","Close Contacts",-35.24194,149.0743398
"Previous","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","11 Aug 2021","8:00am","5:00pm","Close Contacts",-35.1812815,149.1004454
"Previous","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","11 Aug 2021","8:30am","5:30pm","Close Contacts",-35.356842,149.0891491
"New","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","11 Aug 2021","8:30am","3:30pm","Close Contacts",-35.2524674,149.130518
"Previous","Mitchell","North Canberra Business Centre, 54 Vicars Street","11 Aug 2021","11:10am","11:30am","Close Contacts",-35.210138,149.1443583
"Previous","Cook","Companion House, 41 Templeton Street","11 Aug 2021","11:30am","11:45am","Close Contacts",-35.2590484,149.0615234
"Previous","Kingston","Capital Chemist, Green Square, 62 Jardine Street","11 Aug 2021","12 noon","12:15pm","Close Contacts",-35.3159461,149.1415931
"Previous","Griffith","Coles Manuka, Franklin Street and Flinders Way","11 Aug 2021","12:15pm","12:40pm","Close Contacts",-35.3210247,149.1341946
"Previous","Gungahlin","Gunners Place – Youth Centre, Level 1, 20 Hibberson Street","11 Aug 2021","1:30pm","2:30pm","Close Contacts",-35.1852318,149.133036
"New","Bruce","Club Lime – CISAC, 100 Eastern Valley Way","11 Aug 2021","4:45pm","7:15pm","Close Contacts",-35.24194,149.0743398
"Previous","Kingston","Turkish Delight, 75/71 Giles Street","11 Aug 2021","6:35pm","6:45pm","Close Contacts",-35.3129422,149.1457753
"Previous","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","11 Aug 2021","8:30am","8:35am","Close Contacts",-35.3247984,149.1794654
"Previous","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","11 Aug 2021","12:00pm","13:00pm","Close Contacts",-35.3247984,149.1794654
"Previous","Nicholls","Gold Creek School, Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","12 Aug 2021","8:00am","3:10pm","Close Contacts",-35.1799885,149.0941286
"Previous","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","12 Aug 2021","8:30am","8:35am","Close Contacts",-35.3247984,149.1794654
"New","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","12 Aug 2021","8:30am","3:30pm","Close Contacts",-35.2524674,149.130518
"Previous","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","12 Aug 2021","8:30am","5:30pm","Close Contacts",-35.356842,149.0891491
"New","Canberra City","Coffee Guru Canberra Centre, Shop K05, Canberra Centre, 148 Bunda Street","12 Aug 2021","10:45am","12 noon","Close Contacts",-35.2802191,149.133323
"Previous","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","13 Aug 2021","8:30am","5:30pm","Close Contacts",-35.356842,149.0891491
"Previous","Fyshwick","Central Food Court, Canberra Outlet Centre","8 Aug 2021","1:30pm","2:30pm","Casual Contacts",-35.2802271,149.1332559
"Previous","Fyshwick","Boost Juice, Canberra Outlet Centre, 377 Canberra Avenue","8 Aug 2021","1:35pm","2:05pm","Casual Contacts",-35.337263,149.1776894
"Previous","Amaroo","Coles Amaroo, Horse Park Drive","8 Aug 2021","4:00pm","4:20pm","Casual Contacts",-35.1646128,149.1317816
"Previous","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","9 Aug 2021","8:25am","5:00pm","Casual Contacts",-35.180284,149.1011436
"New","Dickson","Woolworths Dickson, Dickson Place","9 Aug 2021","3:00pm","4:00pm","Casual Contacts",-35.249974,149.1386251
"New","Dickson","KFC Dickson, Bradham Street and Wooley Streets Dickson","9 Aug 2021","3:00pm","4:00pm","Casual Contacts",-35.2495219,149.1375976
"New","Fyshwick","St George Bank, 58 Wollongong Street","9 Aug 2021","10:35am","11:00am","Casual Contacts",-35.3249107,149.1798216
"New","Fyshwick","Stockade Training Centre, 7 Kembla Street","9 Aug 2021","3:45pm","5:30pm","Casual Contacts",-35.325788,149.1779729
"Previous","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","10 Aug 2021","8:00am","3:10pm","Casual Contacts",-35.180284,149.1011436
"New","Canberra City","Civic Square Post Office, Shop G14-16, Canberra Centre 148 Bunda Street","10 Aug 2021","9:30am","9:50am","Casual Contacts",-35.2805531,149.1338806
"Previous","Gungahlin","Kmart Gungahlin, 33 Hibberson Street","10 Aug 2021","3:00pm","4:00pm","Casual Contacts",-35.1848509,149.1331888
"Previous","Gungahlin","Big W Gungahlin, Gozzard Street","10 Aug 2021","3:45pm","4:30pm","Casual Contacts",-35.1858957,149.1336469
"Previous","Casey","Supabarn, 15 Kingsland Parade","10 Aug 2021","4:00pm","4:10pm","Casual Contacts",-35.1741413,149.0960254
"Previous","Casey","Sushi Island, 15/22 Kingsland Parade","10 Aug 2021","4:00pm","4:15pm","Casual Contacts",-35.1744274,149.0956353
"New","Canberra City","David Jones Canberra Centre, 148 Bunda Street","10 Aug 2021","5:15pm","6:00pm","Casual Contacts",-35.2797785,149.1328569
"New","Belconnen","TLE Electrical & Data supplies, 22-36 Oatley Court","11 Aug 2021","7:45am","8:30am","Casual Contacts",-35.24167,149.058
"Previous","Kingston","Abode Hotel, 14 Kennedy Street(Floors 1, 2 and 3)","11 Aug 2021","7:50am","11:59pm","Casual Contacts",-35.31713,149.14108
"Previous","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","11 Aug 2021","8:00am","5:00pm","Casual Contacts",-35.180284,149.1011436
"Previous","Deakin","EQ Café and Lounge, 70 Kent Street","11 Aug 2021","6:30am","4:00pm","Casual Contacts",-35.3204751,149.0973981
"Previous","Deakin","EQ Bakehouse, 70 Kent Street","11 Aug 2021","7:00am","4:00pm","Casual Contacts",-35.3204751,149.0973981
"New","Casey","Sushi Island, 15/22 Kingsland Parade","11 Aug 2021","1:00pm","1:10pm","Casual Contacts",-35.1744274,149.0956353
"New","Casey","Supabarn Casey, 15 Kingsland Parade","11 Aug 2021","1:05pm","1:30pm","Casual Contacts",-35.1741413,149.0960254
"New","Charnwood","Woolworths Charnwood, 25-30 Charnwood Place","11 Aug 2021","6:30pm","7:10pm","Casual Contacts",-35.2045295,149.0328578
"Previous","Greenway","Southern Cross Club Stadium, 7 Pitman Street","11 Aug 2021","7:00pm","9:00pm","Casual Contacts",-35.4155197,149.0634307
"Previous","Kingston","Abode Hotel, 14 Kennedy Street(Floors 1, 2 and 3)","12 Aug 2021","12:00am","7:00pm","Casual Contacts",-35.31713,149.14108
"New","Belconnen","TLE Electrical & Data supplies, 22-36 Oatley Court","12 Aug 2021","7:30am","8:15am","Casual Contacts",-35.24167,149.058
"New","Belconnen","Coles Express Belconnen (Petrol Station), Lathlain Street and Wignall Place","12 Aug 2021","7:50am","8:10am","Casual Contacts",-35.242649,149.063986
"Previous","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","12 Aug 2021","8:00am","3:10pm","Casual Contacts",-35.180284,149.1011436
"Previous","Deakin","EQ Café and Lounge, 70 Kent Street","12 Aug 2021","6:30am","10:00am","Casual Contacts",-35.3204751,149.0973981
"Previous","Deakin","EQ Bakehouse, 70 Kent Street","12 Aug 2021","7:00am","10:00am","Casual Contacts",-35.3204751,149.0973981
"Previous","Fyshwick","Canberra Outlet Centre","8 August 2021","2:00pm","3:30pm","Monitoring",-35.3366664,149.1784548
"Previous","Aranda","Aranda Playing Fields, U14 girls AFL Ainslie Red vs Belconnen Black","8 August 2021","9:00am","11:30am","Monitoring",-35.25363,149.08
"Previous","Casey","Casey Marketplace, 15 Kingsland Parade","10 August 2021","3:50pm","4:20pm","Monitoring",-35.17447,149.0959449
"New","Phillip","Woolworths Phillip, Westfield Woden, Hindmarsh Dr & Melrose Drives","10 August 2021","5:30pm","6:30pm","Monitoring",-35.345964,149.084734
"New","Kingston","Ground Floor only, Abode Hotel. 14 Kennedy St.","11 August 2021","7:50am","7:00pm","Monitoring",-35.31713,149.14108
"Previous","Kingston","Ochre Medical Centre, Level 1, Green Square Centre 62 Jardine Street","11 August 2021","4:30pm","4:40pm","Monitoring",-35.3158701,149.1414428
"New","Kingston","Ground Floor only, Abode Hotel. 14 Kennedy St.","12 August 2021","7:50am","7:00pm","Monitoring",-35.31713,149.14108
